theta,xi,yi,xc,yc,xo,yo,xb,yb,xct,yct,xot,yot,energy
1.5137,0.0000,0.0000,0.0570,0.9984,0.2508,1.0478,1.0000,0.2000,-0.0171,1.2891,0.1748,1.7508,8.5281
1.5147,0.0000,0.0000,0.0560,0.9984,0.2500,1.0471,1.0000,0.2000,-0.0169,1.2894,0.1768,1.7504,8.5224
1.5157,0.0000,0.0000,0.0550,0.9985,0.2492,1.0464,1.0000,0.2000,-0.0168,1.2898,0.1788,1.7499,8.5168
1.5167,0.0000,0.0000,0.0540,0.9985,0.2484,1.0456,1.0000,0.2000,-0.0166,1.2901,0.1808,1.7495,8.5111
1.5177,0.0000,0.0000,0.0530,0.9986,0.2476,1.0449,1.0000,0.2000,-0.0165,1.2904,0.1828,1.7490,8.5054
1.5187,0.0000,0.0000,0.0520,0.9986,0.2468,1.0442,1.0000,0.2000,-0.0163,1.2908,0.1848,1.7486,8.4997
1.5197,0.0000,0.0000,0.0510,0.9987,0.2460,1.0435,1.0000,0.2000,-0.0161,1.2911,0.1868,1.7481,8.4940
1.5207,0.0000,0.0000,0.0500,0.9987,0.2451,1.0427,1.0000,0.2000,-0.0159,1.2914,0.1888,1.7476,8.4883
1.5217,0.0000,0.0000,0.0490,0.9988,0.2443,1.0420,1.0000,0.2000,-0.0157,1.2917,0.1908,1.7471,8.4825
1.5227,0.0000,0.0000,0.0480,0.9988,0.2435,1.0412,1.0000,0.2000,-0.0156,1.2920,0.1928,1.7465,8.4767
1.5237,0.0000,0.0000,0.0470,0.9989,0.2427,1.0405,1.0000,0.2000,-0.0154,1.2923,0.1949,1.7460,8.4709
1.5247,0.0000,0.0000,0.0460,0.9989,0.2418,1.0397,1.0000,0.2000,-0.0152,1.2926,0.1969,1.7454,8.4651
1.5257,0.0000,0.0000,0.0450,0.9990,0.2410,1.0390,1.0000,0.2000,-0.0150,1.2929,0.1990,1.7448,8.4593
1.5267,0.0000,0.0000,0.0440,0.9990,0.2402,1.0382,1.0000,0.2000,-0.0148,1.2932,0.2010,1.7443,8.4534
1.5277,0.0000,0.0000,0.0430,0.9991,0.2393,1.0375,1.0000,0.2000,-0.0146,1.2935,0.2031,1.7436,8.4475
1.5287,0.0000,0.0000,0.0420,0.9991,0.2385,1.0367,1.0000,0.2000,-0.0143,1.2938,0.2051,1.7430,8.4416
1.5297,0.0000,0.0000,0.0410,0.9992,0.2376,1.0359,1.0000,0.2000,-0.0141,1.2940,0.2072,1.7424,8.4357
1.5307,0.0000,0.0000,0.0400,0.9992,0.2368,1.0352,1.0000,0.2000,-0.0139,1.2943,0.2093,1.7417,8.4298
1.5317,0.0000,0.0000,0.0390,0.9992,0.2359,1.0344,1.0000,0.2000,-0.0137,1.2946,0.2114,1.7411,8.4239
